id,category,role,difficulty,temperature,por,por_fired,delta_e,delta_e_core,delta_e_full,delta_e_summary,grv_top,backend
q079,epistemology,test,medium,0.7,0.5871,False,0.7089,0.8711,0.7089,0.9578,信頼,tfidf-char-ngram
q079,epistemology,test,medium,1.0,0.4463,False,0.7644,0.8877,0.7644,0.9648,信頼,tfidf-char-ngram
q080,epistemology,test,hard,0.0,0.3458,False,0.7252,0.7563,0.7252,0.8436,証言,tfidf-char-ngram
q080,epistemology,test,hard,0.7,0.3763,False,0.7183,0.7579,0.7183,0.9295,証言,tfidf-char-ngram
q080,epistemology,test,hard,1.0,0.3723,False,0.7626,0.7976,0.7626,0.8758,出力,tfidf-char-ngram
q081,epistemology,test,medium,0.0,0.1965,False,0.8368,0.8866,0.8368,0.9262,情報,tfidf-char-ngram
q081,epistemology,test,medium,0.7,0.2917,False,0.8637,0.9715,0.8637,0.9899,過信,tfidf-char-ngram
q081,epistemology,test,medium,1.0,0.2066,False,0.8297,0.9072,0.8297,0.9762,問題,tfidf-char-ngram
q082,epistemology,test,medium,0.0,0.4283,False,0.6543,0.8872,0.6543,0.9638,認識的,tfidf-char-ngram
q082,epistemology,test,medium,0.7,0.4558,False,0.6549,0.9141,0.6549,0.9679,認識的,tfidf-char-ngram
q082,epistemology,test,medium,1.0,0.409,False,0.6876,0.9445,0.6876,0.9566,バブル,tfidf-char-ngram
q083,epistemology,test,medium,0.0,0.5578,False,0.59,0.7654,0.59,0.8899,正当化,tfidf-char-ngram
q083,epistemology,test,medium,0.7,0.5832,False,0.6051,0.7851,0.6051,0.9527,正当化,tfidf-char-ngram
q083,epistemology,test,medium,1.0,0.6041,False,0.7091,0.8017,0.7091,0.9591,正当化,tfidf-char-ngram
q084,epistemology,test,hard,0.0,0.2836,False,0.7571,0.8877,0.7571,0.9098,知識,tfidf-char-ngram
q084,epistemology,test,hard,0.7,0.3008,False,0.7891,0.888,0.7891,0.9336,情報,tfidf-char-ngram
q084,epistemology,test,hard,1.0,0.3311,False,0.6191,0.8177,0.6191,0.9047,情報,tfidf-char-ngram
q085,epistemology,test,medium,0.0,0.4133,False,0.6366,0.9141,0.6366,0.934,データ,tfidf-char-ngram
q085,epistemology,test,medium,0.7,0.368,False,0.6857,0.9139,0.6857,0.9084,データ,tfidf-char-ngram
q085,epistemology,test,medium,1.0,0.5267,False,0.612,0.8928,0.612,0.9504,問題,tfidf-char-ngram
q086,epistemology,test,medium,0.0,0.5174,False,0.6101,0.9826,0.6101,0.9804,ベイズ,tfidf-char-ngram
q086,epistemology,test,medium,0.7,0.5003,False,0.5985,0.969,0.5985,0.9795,ベイズ,tfidf-char-ngram
q086,epistemology,test,medium,1.0,0.4032,False,0.711,0.972,0.711,0.991,ベイズ,tfidf-char-ngram
q087,epistemology,test,hard,0.0,0.3012,False,0.644,0.7277,0.644,0.9257,暗黙知,tfidf-char-ngram
q087,epistemology,test,hard,0.7,0.2961,False,0.6481,0.7422,0.6481,0.8708,暗黙知,tfidf-char-ngram
q087,epistemology,test,hard,1.0,0.2835,False,0.6277,0.741,0.6277,0.899,暗黙知,tfidf-char-ngram
q088,epistemology,test,medium,0.0,0.3476,False,0.6471,0.795,0.6471,0.8428,づいて,tfidf-char-ngram
q088,epistemology,test,medium,0.7,0.5035,False,0.5729,0.7325,0.5729,0.8633,限界,tfidf-char-ngram
q088,epistemology,test,medium,1.0,0.3866,False,0.6119,0.7136,0.6119,0.8671,認識的謙虚,tfidf-char-ngram
q021,adversarial,test,hard,0.0,0.3371,False,0.8572,0.9134,0.8572,0.9228,モデル,tfidf-char-ngram
q021,adversarial,test,hard,0.7,0.2445,False,0.8806,0.9611,0.8806,0.9556,幻覚,tfidf-char-ngram
q021,adversarial,test,hard,1.0,0.4936,False,0.9304,0.9815,0.9304,0.9862,幻覚,tfidf-char-ngram
q022,adversarial,test,hard,0.0,0.5148,False,0.6643,0.9833,0.6643,0.997,ディープラーニング,tfidf-char-ngram
q022,adversarial,test,hard,0.7,0.5214,False,0.6769,0.9964,0.6769,1.0,データ,tfidf-char-ngram
q022,adversarial,test,hard,1.0,0.4197,False,0.7323,0.9889,0.7323,0.9864,データ,tfidf-char-ngram
q089,adversarial,test,hard,0.0,0.4548,False,0.7582,0.6751,0.7582,0.7698,説明責任,tfidf-char-ngram
q089,adversarial,test,hard,0.7,0.3942,False,0.6942,0.6971,0.6942,0.8612,説明責任,tfidf-char-ngram
q089,adversarial,test,hard,1.0,0.2795,False,0.7745,0.7852,0.7745,0.818,説明責任,tfidf-char-ngram
q090,adversarial,test,hard,0.0,0.5645,False,0.6543,0.9435,0.6543,0.9873,意識,tfidf-char-ngram
q090,adversarial,test,hard,0.7,0.3879,False,0.7178,0.9539,0.7178,0.9809,意識,tfidf-char-ngram
q090,adversarial,test,hard,1.0,0.3896,False,0.6718,0.977,0.6718,0.9818,意識,tfidf-char-ngram
q091,adversarial,test,hard,0.0,0.6033,False,0.5126,0.7337,0.5126,0.8853,オープンソース,tfidf-char-ngram
q091,adversarial,test,hard,0.7,0.6191,False,0.4962,0.7187,0.4962,0.8892,オープンソース,tfidf-char-ngram
q091,adversarial,test,hard,1.0,0.5736,False,0.5406,0.7685,0.5406,0.8692,オープンソース,tfidf-char-ngram
q092,adversarial,test,hard,0.0,0.2219,False,0.8293,0.9211,0.8293,0.8167,権利,tfidf-char-ngram
q092,adversarial,test,hard,0.7,0.2008,False,0.8104,0.9085,0.8104,0.7852,人間,tfidf-char-ngram
q092,adversarial,test,hard,1.0,0.1309,False,0.818,0.9561,0.818,0.9736,人間,tfidf-char-ngram
q093,adversarial,test,hard,0.0,0.2893,False,0.6665,0.6733,0.6665,0.735,規制,tfidf-char-ngram
q093,adversarial,test,hard,0.7,0.2738,False,0.6872,0.7018,0.6872,0.7545,規制,tfidf-char-ngram
q093,adversarial,test,hard,1.0,0.3959,False,0.5301,0.561,0.5301,0.6168,規制,tfidf-char-ngram
q094,adversarial,test,hard,0.0,0.4302,False,0.8473,0.9913,0.8473,0.9959,科学者,tfidf-char-ngram
q094,adversarial,test,hard,0.7,0.3937,False,0.8457,0.9847,0.8457,1.0,科学者,tfidf-char-ngram
q094,adversarial,test,hard,1.0,0.3276,False,0.8503,0.9872,0.8503,0.9978,科学者,tfidf-char-ngram
q095,adversarial,test,hard,0.0,0.2389,False,0.6943,0.9813,0.6943,0.9949,バイアス,tfidf-char-ngram
q095,adversarial,test,hard,0.7,0.2214,False,0.7722,0.9746,0.7722,0.989,バイアス,tfidf-char-ngram
q095,adversarial,test,hard,1.0,0.2682,False,0.6837,0.982,0.6837,0.9874,バイアス,tfidf-char-ngram
q096,adversarial,test,hard,0.0,0.1471,False,0.8402,0.8974,0.8402,0.8344,モデル,tfidf-char-ngram
q096,adversarial,test,hard,0.7,0.1815,False,0.8435,0.9536,0.8435,0.9414,モデル,tfidf-char-ngram
q096,adversarial,test,hard,1.0,0.1983,False,0.8595,0.9424,0.8595,0.9836,モデル,tfidf-char-ngram
q097,adversarial,test,hard,0.0,0.4499,False,0.8637,0.9689,0.8637,0.9808,判断,tfidf-char-ngram
q097,adversarial,test,hard,0.7,0.3978,False,0.8356,0.951,0.8356,0.9728,使用,tfidf-char-ngram
q097,adversarial,test,hard,1.0,0.4597,False,0.8281,0.9552,0.8281,0.9869,医療判断,tfidf-char-ngram
q098,adversarial,test,hard,0.0,0.2488,False,0.7691,0.9815,0.7691,0.9892,評価,tfidf-char-ngram
q098,adversarial,test,hard,0.7,0.2786,False,0.7512,0.9932,0.7512,0.9953,評価,tfidf-char-ngram
q098,adversarial,test,hard,1.0,0.2316,False,0.8104,1.0,0.8104,1.0,評価,tfidf-char-ngram
q099,adversarial,test,hard,0.0,0.1808,False,0.9599,0.9887,0.9599,0.8504,中国,tfidf-char-ngram
q099,adversarial,test,hard,0.7,0.2142,False,0.9268,0.9719,0.9268,0.8406,中国,tfidf-char-ngram
q099,adversarial,test,hard,1.0,0.222,False,0.9363,0.9733,0.9363,0.9168,中国,tfidf-char-ngram
q100,adversarial,test,hard,0.0,0.1819,False,0.7788,0.9309,0.7788,0.9623,戦争,tfidf-char-ngram
q100,adversarial,test,hard,0.7,0.1867,False,0.8002,0.8478,0.8002,0.8205,倫理的,tfidf-char-ngram
q100,adversarial,test,hard,1.0,0.1873,False,0.7515,0.8382,0.7515,0.8167,戦争,tfidf-char-ngram
qg01,ai_ethics,grv_calibration,medium,0.0,0.2,False,0.8875,0.9106,0.8875,0.9627,重要,tfidf-char-ngram
qg01,ai_ethics,grv_calibration,medium,0.7,0.1671,False,0.8307,0.9144,0.8307,0.9563,重要,tfidf-char-ngram
qg01,ai_ethics,grv_calibration,medium,1.0,0.1318,False,0.8926,0.9417,0.8926,0.963,システム,tfidf-char-ngram
qg02,technical_ai,grv_calibration,medium,0.0,0.6475,False,0.5402,0.3815,0.5402,0.5823,量子,tfidf-char-ngram
qg02,technical_ai,grv_calibration,medium,0.7,0.6765,False,0.4996,0.3519,0.4996,0.5841,量子,tfidf-char-ngram
qg02,technical_ai,grv_calibration,medium,1.0,0.5619,False,0.5464,0.4281,0.5464,0.5871,量子,tfidf-char-ngram
